avg_reflectance(%),uniformity(%),max_high_angle_R(%),delta_R_temp(%),avg_stress(MPa),layer1_thickness(nm),layer2_thickness(nm),layer3_thickness(nm),layer4_thickness(nm),layer5_thickness(nm),layer6_thickness(nm),layer7_thickness(nm)
5.9066,38.2548,2.8587,0.0121,28.5756,20.0232,139.9424,22.2009,138.5295,24.9189,123.2097,20.3035
16.3774,2.1862,17.5271,0.0020,36.6093,20.4505,36.4816,27.7510,45.4522,37.5813,61.2253,112.2905
16.5936,1.0921,17.0306,0.0019,37.5035,36.8740,20.3613,41.8058,20.0169,46.9221,63.4588,47.5878
11.7249,7.2028,13.9892,0.0005,39.5847,80.1818,27.0823,50.6297,21.9776,44.3134,56.7556,109.8640
14.0722,5.2577,16.2346,0.0012,33.5443,20.0362,35.9698,20.6803,59.2951,21.9970,65.5012,57.1955
16.8424,2.4621,18.0551,0.0013,38.7344,38.5647,20.3015,39.8750,20.8186,43.4378,63.6959,107.8848
17.6193,7.5089,19.9563,0.0013,32.2356,20.0666,36.3632,22.0420,50.1312,20.0133,62.1418,22.1334
13.0201,5.2110,15.0850,0.0009,37.5487,24.8231,20.6423,51.7748,22.6899,43.6958,60.8385,55.1411
0.6465,139.4284,4.2969,0.0031,30.8454,55.6983,34.2133,21.9035,125.6089,20.0438,136.3497,24.6638
15.9873,1.8308,16.4118,0.0023,34.9742,21.4051,40.8927,20.8437,59.8644,20.2222,72.2613,109.6574
0.4171,122.7767,2.4504,0.0021,31.7098,54.4851,37.5068,21.4715,56.0604,20.1435,136.3948,20.0002
18.0726,3.2533,19.6806,0.0008,37.3112,28.9462,34.6764,28.9830,37.8813,43.4643,59.2686,109.6872
14.5792,1.2225,14.7548,0.0023,38.4132,22.2855,26.5048,49.4100,20.0891,44.3611,64.2244,109.6089
14.4801,1.1435,14.8698,0.0020,37.0523,22.2863,26.6579,49.5319,20.1449,44.7311,63.8500,51.2509
16.1599,6.8347,20.0434,0.0051,29.2904,22.1175,39.4524,20.0510,126.7325,20.9918,139.5762,20.3448
5.4100,51.8918,1.1960,0.0134,29.8334,31.6438,74.7852,26.8946,104.1106,20.8494,139.6127,22.1170
19.2272,3.1829,20.9844,0.0010,34.2707,23.9724,41.4944,20.0102,43.6981,32.6732,62.4052,50.8774
6.2814,46.8922,1.7636,0.0159,28.7757,23.4347,139.8192,27.7017,136.3287,20.1687,116.5679,20.0864
0.5520,88.7456,1.7284,0.0009,39.4903,55.3964,38.9119,26.8599,39.0778,64.2721,20.8253,113.3546
3.0746,106.3366,15.1700,0.0101,28.6743,20.0275,139.8673,25.3442,113.0855,20.0665,136.8860,22.3003
0.6628,120.4819,3.8795,0.0033,30.4970,54.2822,38.1635,20.0743,126.2319,20.0220,137.7182,20.1286
1.4677,68.2619,4.3041,0.0064,29.6962,52.7102,109.5944,20.5754,129.4994,22.2371,137.6368,20.0832
2.8997,96.1044,13.0963,0.0111,28.9081,20.0007,139.9706,27.4660,111.5054,20.0015,139.0737,27.3804
20.2459,3.7938,22.2878,0.0040,30.6959,20.3768,41.9177,28.7270,108.4449,25.2477,137.5355,40.2899
7.9202,13.0203,10.6364,0.0008,32.7036,20.0995,56.6456,20.0911,70.8719,24.9479,71.9055,59.7985
20.9505,2.7063,21.0832,0.0042,31.4137,20.0909,41.5312,27.8147,102.2128,29.6289,134.3605,53.7508
3.1404,77.5133,12.1761,0.0096,28.4739,20.0538,139.8238,23.4401,120.2870,20.1710,139.1021,20.2524
3.6643,62.4810,11.7572,0.0078,28.5018,20.0009,136.2912,23.5685,126.1344,20.0027,139.5064,21.7401
4.3964,30.8694,3.5169,0.0093,28.8593,21.2410,139.9946,30.1735,125.7666,20.0014,134.3449,24.2512
12.7155,2.7590,13.6501,0.0017,37.1729,20.0354,25.3450,53.4730,20.4913,42.2203,66.4336,58.8763
8.2351,11.6610,10.4507,0.0005,33.7757,21.3615,44.5512,39.3436,56.9658,26.0351,66.2388,44.4187
3.0594,79.3675,11.1798,0.0123,28.7343,20.0475,139.9900,28.9442,112.9501,20.2109,139.9847,21.0050
9.3375,48.2567,0.6450,0.0136,29.2143,20.0245,90.8793,25.0379,102.2686,20.1583,130.2237,21.1095
21.5114,1.9934,22.2345,0.0035,31.2844,23.1627,41.5025,26.6249,103.0596,25.4499,135.8386,53.2416
2.2857,65.9501,0.4000,0.0074,30.3085,61.7772,99.6203,26.7994,130.5368,20.2724,136.4048,23.6013
1.1854,29.3657,1.5516,0.0028,30.3163,53.7490,38.1635,20.0743,137.0317,20.0246,139.6081,20.1286
17.0037,3.6733,18.7735,0.0011,36.5318,20.4505,35.7564,27.7510,45.4768,33.6083,61.3021,112.2905
1.3154,82.3402,5.3762,0.0058,29.7309,52.7428,106.5090,23.0225,129.5582,20.1044,138.2004,20.0901
3.6942,16.1911,5.1584,0.0007,34.4892,49.5566,34.0653,20.9058,69.9312,26.2356,65.6159,56.4293
18.9472,5.0271,20.6726,0.0013,32.2006,20.0666,40.9996,22.0420,43.4180,20.0133,65.3490,22.1334
0.5963,126.6936,3.7112,0.0035,30.7101,55.9724,35.1684,22.2783,125.1331,20.0286,135.7991,20.0409
2.9082,108.3726,14.2047,0.0107,28.8953,20.0418,139.7143,27.8313,108.0482,20.0591,139.9917,25.8560
0.3760,153.3430,2.6676,0.0021,33.0684,54.9824,39.9138,20.0382,38.3816,42.3917,125.4025,20.3322
2.6521,89.5117,0.2058,0.0093,34.7844,60.4225,33.9457,26.1269,50.5368,28.6998,136.8876,96.7764
7.9342,40.7744,1.6061,0.0161,29.0702,28.7989,138.7145,29.5881,130.0486,20.0108,116.4218,20.0209
3.8754,21.4314,5.6962,0.0062,29.8983,37.3501,126.3334,26.3228,126.7550,20.0125,68.6813,20.6820
22.0629,4.1294,24.5776,0.0013,31.9299,28.8586,35.4067,29.9435,101.6529,29.5034,134.3605,55.6028
8.6802,2.2496,8.8870,0.0041,34.5699,20.0874,56.6456,20.0249,70.8719,26.3716,64.4625,109.6629
3.3463,74.1234,12.7343,0.0085,28.3854,20.5928,139.9431,20.8553,122.2161,20.0022,138.3529,20.1581
11.9379,4.0354,13.7384,0.0013,38.0817,20.0943,24.9880,49.0791,29.4646,42.4797,58.7513,102.4035
2.2569,31.5878,0.5238,0.0040,32.7258,61.7772,99.6203,28.0165,130.5368,20.2724,125.9311,114.0662
22.4026,2.2701,23.9752,0.0023,31.7619,28.8586,34.3494,29.5575,101.6529,29.3243,134.3605,50.3596
1.2365,22.7871,1.8730,0.0025,30.6052,55.0616,107.2531,23.0640,132.7732,20.0882,64.9340,20.5345
6.3065,46.4104,1.7152,0.0160,28.7666,23.4347,139.8192,27.4421,136.3817,20.1687,116.5679,20.0864
16.2586,5.7847,18.5214,0.0004,35.4612,20.1299,44.6567,20.3007,53.3614,26.4276,67.1703,114.3056
19.0203,4.0095,20.4159,0.0017,32.5490,20.3564,37.0741,24.0606,43.3670,21.9350,64.1747,21.3290
20.5937,1.0049,20.8366,0.0029,34.5360,24.5068,42.1045,20.0531,38.9807,31.1548,66.3171,58.6150
21.9620,3.6712,24.2839,0.0015,32.0184,27.3474,35.6365,30.4355,101.8380,31.5677,134.2532,57.5567
1.6992,63.0674,5.7745,0.0055,29.4168,20.4276,77.6624,25.3305,106.6112,20.0172,139.7933,26.0757
17.1438,4.0311,18.4639,0.0056,29.3026,20.6528,106.5917,24.0913,115.7225,31.7134,134.3968,21.3154
2.5020,90.8929,0.2117,0.0092,34.6987,60.3709,33.9457,26.1269,50.5368,27.9787,136.8876,93.9441
0.9591,27.9259,0.4804,0.0021,40.7397,61.0324,29.1113,92.0066,32.2111,59.5704,27.7351,116.4133
15.4591,1.5671,16.1885,0.0029,36.4983,21.2844,34.2040,25.3107,49.4618,37.2617,61.4491,112.4054
4.8492,32.5919,5.6001,0.0051,29.3665,22.0690,139.9920,25.3240,138.1632,23.1242,62.7673,24.7044
6.5267,49.8156,1.9137,0.0184,28.7324,22.5495,139.9738,27.1166,139.5934,20.0008,111.8777,20.1441
0.6395,137.8040,4.2337,0.0033,30.6057,55.0182,36.5277,20.9317,125.3663,20.1084,136.6775,20.2163
1.0435,27.4347,0.4982,0.0021,40.4222,60.0686,29.6427,93.2540,33.7807,56.2560,31.6070,110.5685
3.0322,98.9693,14.0518,0.0100,28.7259,20.0275,138.2860,26.7659,114.7702,20.0665,138.6968,22.8296
16.6277,1.8834,17.6373,0.0022,36.6866,21.6356,35.7564,27.7510,45.4522,38.5496,61.2253,112.2905
0.4621,80.8136,1.4873,0.0027,31.7931,54.5006,37.5068,23.6833,56.4303,20.1435,138.6696,21.3152
12.2277,5.0392,12.0976,0.0058,29.5021,24.6757,112.3938,39.0087,138.5288,28.8791,137.1077,20.1572
20.5633,4.0194,22.7479,0.0014,31.6326,20.3084,42.3224,30.2730,101.6529,28.8758,134.2532,58.5938
1.0707,94.4409,3.9508,0.0018,34.1562,58.3240,32.9716,27.2293,84.0013,20.0878,72.6738,54.4915
22.4371,2.2792,23.7847,0.0021,31.9572,28.8586,34.3494,28.7889,101.6529,28.7860,134.3605,57.7815
2.9668,85.2702,12.0502,0.0114,28.7702,20.0528,139.8064,27.4660,113.9956,20.0621,139.6128,23.8101
20.5851,2.5960,21.9380,0.0011,34.3254,22.5417,43.5063,26.7093,37.4559,24.6334,69.5974,57.6464
4.1297,18.7189,6.0791,0.0002,36.1157,50.3592,31.2432,21.8129,71.0304,28.8245,66.5756,110.2600
6.7432,39.2865,2.7988,0.0145,28.5696,21.4188,139.8311,20.0001,139.9805,25.4935,121.0545,20.1773
7.6130,42.8567,1.7844,0.0180,28.6863,29.1430,139.9158,20.0099,139.1367,20.0125,115.6918,20.0327
5.7991,43.9398,2.7980,0.0148,28.5489,20.1616,139.7339,25.6823,139.1389,20.0101,120.1446,20.2225
22.4824,1.9009,23.6698,0.0023,31.8417,28.8586,34.3494,28.7889,101.6529,28.7860,134.3605,54.1436
1.6069,105.0938,7.8910,0.0050,29.4599,20.0738,75.5578,26.8946,102.3744,23.8018,139.6127,20.3640
8.8009,4.9199,8.4749,0.0033,32.9709,20.1452,27.9580,52.3898,125.9410,42.4813,59.2681,26.2367
5.9079,42.6942,2.7440,0.0149,28.6018,21.3167,139.9929,25.6823,137.5761,20.0902,119.3481,20.0917
5.8031,53.4415,0.7454,0.0133,29.2724,20.3537,85.4443,28.0184,103.7569,20.0141,139.3718,20.8695
1.9838,62.1338,0.4265,0.0064,30.1992,61.0695,99.7565,26.7994,131.3905,21.2172,136.4048,20.0267
3.0182,103.8218,14.3763,0.0106,28.6026,20.0968,139.9736,25.3299,112.7338,20.4704,139.1021,20.1847
2.9410,107.5113,14.3347,0.0106,28.9139,20.0529,138.3582,29.1541,108.9537,20.0622,139.6128,24.8739
0.7466,27.9171,0.5406,0.0019,40.1462,60.7535,33.8576,26.5993,30.8437,64.7065,20.0106,112.2792
11.8732,2.5418,12.2148,0.0024,34.8961,20.0273,36.5515,24.9457,69.0185,20.0878,71.8734,108.7329
18.6068,2.3535,19.7395,0.0015,33.6735,20.1031,43.6878,27.8111,46.6811,20.0916,73.7513,57.6725
0.3276,118.3928,1.8913,0.0020,33.3019,55.1571,39.7272,21.3747,38.3527,43.1611,124.2802,23.9188
22.2322,3.3165,24.3636,0.0014,31.8900,29.5857,34.3494,29.7071,101.6529,28.7860,134.3605,54.0109
19.0655,5.8367,21.1524,0.0015,31.6662,22.4435,44.1176,23.8094,107.9650,20.0978,67.2434,43.3012
3.4078,47.5253,9.0840,0.0092,28.5468,20.0513,139.9907,25.3910,123.5777,20.4704,135.8307,20.1847
15.9310,2.2518,17.0127,0.0020,35.7373,20.1299,35.4917,26.7077,53.8729,24.6361,67.1492,109.9561
2.3902,47.9998,3.4171,0.0077,29.0287,20.0975,79.4720,20.0037,118.4102,22.8993,138.2963,21.8001
9.2695,5.8609,9.6128,0.0044,30.0085,20.6593,33.7639,26.1808,138.3672,34.2158,135.6289,21.7646
3.4351,74.4840,13.2659,0.0072,28.6244,20.0905,135.4470,26.8888,121.7869,20.0333,136.7367,20.1835
0.8165,24.3547,1.4658,0.0007,39.9042,60.2432,32.6038,20.6959,34.5334,64.3269,20.9191,112.2792
3.7264,31.3542,7.8383,0.0072,28.3549,20.0174,139.8988,22.1660,129.8675,20.0294,138.2900,20.0314
4.8105,17.9073,4.6664,0.0038,30.3774,22.0690,139.9920,25.3131,138.1632,20.6204,64.4568,57.9913
1.0993,27.8069,0.9497,0.0030,30.4095,56.2158,38.1255,20.0770,137.5066,20.0289,138.4613,20.1286
0.7346,68.0141,2.2531,0.0033,32.0923,56.2502,36.5436,20.3082,124.7566,28.0647,67.5749,21.1349
1.8206,72.2897,1.1599,0.0071,30.0568,61.0484,99.9200,22.2361,132.3910,20.3085,138.2496,21.8067
8.3462,12.2782,10.8584,0.0007,32.5277,20.4313,56.7311,20.1091,70.8719,20.3078,71.9055,59.5671
8.7298,5.7399,9.1325,0.0053,30.1470,54.4922,139.5446,21.4715,57.7602,20.6894,139.3575,20.0092
0.7094,98.6908,3.0824,0.0044,30.6209,54.2822,39.6299,20.0743,124.2125,23.3966,137.7182,20.1286
0.3692,154.0046,2.6501,0.0020,33.0983,54.9824,39.9826,20.0371,38.3816,42.3917,125.0116,20.9730
1.6332,98.1746,7.8277,0.0043,29.3953,20.0731,75.5578,26.8946,104.1106,20.8464,139.6127,22.1170
6.8637,49.6970,0.5812,0.0127,29.2213,20.0019,87.3006,27.0002,103.3923,20.1516,135.4305,20.0945
3.2579,60.4306,8.9077,0.0114,28.7522,20.0260,139.9892,27.4262,119.7840,20.0003,139.5910,24.7734
16.8146,6.8106,20.7823,0.0051,29.4317,23.6530,36.6937,22.0603,125.8019,20.2127,139.6394,20.0805
5.2186,13.3463,5.7506,0.0057,28.2690,20.0004,139.9802,20.0000,140.0000,22.0570,139.9977,20.0000
0.3397,119.3558,1.9901,0.0021,33.1487,55.9079,39.4307,20.0303,38.7300,43.0272,124.2818,20.2304
0.3967,135.5958,2.4403,0.0021,33.0893,54.8485,39.5029,20.9782,38.2539,42.8848,126.5265,20.0308
3.8072,23.7069,7.3080,0.0065,28.6116,20.2403,138.5150,24.1982,130.0440,20.0290,135.8799,24.6613
9.6564,44.1521,1.1085,0.0131,29.1874,20.9168,92.7385,20.4397,106.6973,20.4825,130.0870,25.4224
3.2965,85.7439,13.5198,0.0090,28.3727,20.1654,139.9762,20.8151,120.6695,20.0105,139.5370,20.1830
2.0383,28.2541,3.7253,0.0006,36.0602,51.9982,36.4685,21.7593,68.5620,27.1596,67.5742,112.6250
5.8100,49.8891,2.0835,0.0158,28.8068,20.0529,139.9807,27.7697,138.7438,20.0005,117.0312,25.2125
12.0296,3.0468,12.2935,0.0043,31.9633,20.6547,50.7081,32.6300,75.1888,25.1051,137.3061,62.1941
6.5052,9.7713,8.5333,0.0008,35.9498,46.7136,39.6163,20.0684,76.8539,42.6001,67.5552,113.2711
13.9679,4.4964,15.9005,0.0007,36.8852,20.5505,26.2659,50.7611,20.5812,37.7256,62.7067,51.4203
10.9243,7.7501,12.7063,0.0056,28.5452,20.3300,101.2602,20.6175,137.5125,20.4065,139.1694,20.0726
3.0654,101.0875,14.1362,0.0101,28.6966,20.0327,139.4751,24.3963,115.0440,20.0622,139.6128,24.8739
3.1742,65.4969,10.2566,0.0106,28.5917,20.0936,139.8254,26.6777,119.2069,20.1208,138.8417,20.2001
2.8929,106.1843,13.9707,0.0108,28.8655,20.0418,139.8919,27.9783,108.1061,20.0622,139.9931,24.8739
3.6302,13.3590,5.1281,0.0032,35.5241,20.3957,75.0497,21.2035,102.4267,61.9634,22.3520,118.3725
5.5713,44.7381,2.6209,0.0135,28.5515,20.0187,139.7339,25.6823,139.3655,20.0537,121.9069,20.8285
5.5188,11.1646,6.5197,0.0042,28.5626,20.0143,137.9418,23.7277,139.3858,26.0353,137.2621,20.0793
19.9522,3.5231,21.9548,0.0017,30.9460,20.3998,47.3776,24.2519,105.2160,24.6414,135.8108,52.7246
16.7624,5.3869,18.9471,0.0005,35.5604,20.1299,44.6567,20.0683,51.9989,26.4276,67.1703,116.6515
20.0169,5.3879,23.1753,0.0017,31.4187,26.6027,33.5447,26.5156,115.9329,24.8734,136.7056,57.2628
0.4796,36.8925,0.9831,0.0008,40.0174,59.4649,32.6410,28.3426,34.5334,64.3269,20.5553,112.2792
4.2139,28.3141,4.6739,0.0079,28.5007,20.0996,139.9806,27.1074,131.7565,20.1218,139.8708,20.0033
5.6655,5.8350,6.7191,0.0020,37.8825,20.0073,35.0525,57.7756,37.7860,43.4649,62.0762,122.9462
10.3442,4.9749,12.0212,0.0033,30.5506,28.5325,47.2058,23.7654,138.8362,20.1689,135.8677,51.1907
5.9726,50.7771,1.9362,0.0170,28.7213,20.0848,139.7243,29.5759,138.4103,20.0296,114.3588,20.0332
5.9526,35.1262,4.2727,0.0132,28.4354,20.3813,139.9077,22.1838,138.5295,20.5778,122.5153,20.0117
8.5768,2.1180,8.7896,0.0033,35.7948,20.0432,24.5856,50.0069,61.1390,44.9771,60.1217,56.0039
16.8922,5.6129,20.1015,0.0035,30.3894,22.5479,35.5455,23.9083,124.5187,20.0214,137.5468,43.3012
3.4471,58.2974,11.0487,0.0095,28.5459,20.1382,139.9843,24.5853,122.3932,20.4673,133.7544,20.1761
2.8013,21.7939,3.9456,0.0018,32.8546,49.8364,40.0793,21.2100,70.1179,28.7946,134.3556,58.3148
0.9278,64.3237,1.2817,0.0046,30.6597,55.7471,39.9216,22.4185,125.6057,20.0088,135.7991,20.7504
12.9131,4.2212,13.3172,0.0023,32.5117,20.0273,40.0837,20.2146,69.0185,20.0878,74.4974,50.1061
4.2363,30.1696,6.3531,0.0091,28.4675,22.8145,139.8257,22.5140,129.1915,20.0083,138.2900,20.0899
17.5214,3.1013,19.1318,0.0015,34.0893,20.2969,35.0739,30.1484,48.4736,20.1793,67.9356,55.5692
14.9004,4.5795,16.5393,0.0011,35.9671,20.0366,44.8726,20.7153,50.8675,38.4949,62.5851,112.9785
15.4531,4.9324,17.4900,0.0008,36.4395,20.4505,39.6104,27.7510,47.3878,37.5813,61.2253,112.2905
2.9389,107.1254,14.2498,0.0107,28.9120,20.0529,138.3582,29.1541,108.9537,20.0622,139.8451,24.8739
0.4083,115.0313,2.2567,0.0022,31.7146,54.7497,37.4392,21.4715,56.0604,20.1435,136.7373,20.0001
7.5005,42.1553,1.8244,0.0175,28.6957,29.1430,139.7115,20.2948,138.5170,20.0109,116.5338,20.0327
6.9036,40.4366,2.1172,0.0144,28.7397,28.3493,139.7363,20.0359,138.4372,20.1097,120.5085,23.1975
3.2268,84.2211,13.1685,0.0091,28.5144,20.0004,139.9707,21.3730,120.6695,20.1710,138.9753,23.6446
4.7376,11.3275,5.4953,0.0057,28.2464,20.3696,139.9775,20.1484,138.1703,20.0020,138.3132,20.1803
3.4127,57.7377,8.1358,0.0118,28.7928,20.0552,139.8059,29.6045,118.4819,20.0511,138.4812,23.1414
9.9010,43.9433,1.3474,0.0110,30.1103,20.1783,84.7235,27.0680,113.8128,20.2282,56.7893,20.1569
3.0328,117.4816,15.4962,0.0099,28.8030,20.0551,139.8608,27.4427,105.4337,20.1157,139.5967,22.7574
20.4962,1.9682,21.4892,0.0016,34.3762,24.1257,44.1211,20.3555,38.8133,29.1681,66.4766,58.2150
3.5731,38.2479,7.0315,0.0088,28.7176,20.0529,138.5971,27.4262,126.1061,20.0025,138.8860,24.6674
4.5001,55.5078,1.1830,0.0117,29.6105,20.0200,84.0817,27.8032,103.3490,20.1198,137.4693,29.3942
1.1465,43.4631,2.9797,0.0039,29.9551,55.0828,101.9774,26.1256,132.7732,20.0412,135.7872,20.7891
12.1009,6.1589,14.8346,0.0023,30.0806,21.1828,45.5137,24.7523,135.5146,20.0102,71.3744,20.0066
5.3790,13.6302,7.1884,0.0010,35.6950,47.7256,39.6163,20.0684,76.8539,30.4518,67.5552,113.2711
3.9038,32.1177,7.8775,0.0025,30.4590,20.0015,76.9988,25.2793,81.2575,20.9918,72.2177,20.2512
20.3407,1.6168,21.3400,0.0021,33.9870,22.6732,40.5267,26.8641,41.8996,22.6813,69.3481,51.6348
1.5778,102.3495,7.6682,0.0053,29.6737,20.1930,75.6015,26.8946,101.8990,25.6323,138.1548,23.5389
6.3188,51.7146,0.8335,0.0118,30.0300,20.4089,84.7235,27.0778,107.5700,20.1532,69.0088,20.1593
15.6593,3.6163,17.1232,0.0012,33.5753,21.3670,40.0637,20.3082,57.1806,28.1051,67.5749,53.9324
18.7339,1.9663,19.9161,0.0014,37.3515,26.2454,41.9623,28.3040,24.1687,44.2320,62.1865,108.4382
4.5271,20.9013,6.2108,0.0034,29.1828,22.4913,138.7693,28.5951,138.9390,20.3834,69.3305,20.3035
16.4117,2.9910,17.8036,0.0010,36.9289,28.4549,20.1946,51.0770,23.1688,31.3999,68.7933,54.8335
0.5901,94.7376,1.8717,0.0011,39.4398,55.3964,38.9119,26.8599,39.0778,64.2721,22.0803,113.3546
17.8094,2.6439,19.2526,0.0017,34.0011,20.4021,36.2947,29.5832,48.4736,20.1961,68.8919,55.5692
9.0045,8.8779,9.8746,0.0062,28.7534,20.0114,97.9440,20.1025,139.9743,23.2402,139.9977,23.9558
1.7732,43.5119,0.2932,0.0035,40.7809,61.0324,30.6903,92.2933,32.2111,59.1266,20.3186,98.8213
17.1547,4.5507,19.0217,0.0007,35.5879,20.0171,44.6567,20.4137,50.8299,27.0130,67.1703,115.5321
19.8082,3.7613,22.1210,0.0018,31.2009,27.1764,35.3624,21.2288,117.8425,24.8734,136.7056,56.9970
3.7115,37.1772,8.1026,0.0082,28.3453,20.0846,139.8709,22.0583,129.4179,20.0175,139.9812,20.0466
17.4202,4.2622,19.6302,0.0005,35.1228,34.7499,29.0726,20.9076,47.4036,36.0383,61.4504,49.6590
6.3054,45.1213,2.1140,0.0162,28.8237,22.9205,139.8303,27.0314,136.3287,20.0021,116.5679,22.8783
14.5974,4.9895,16.6009,0.0012,33.4988,20.0370,35.9238,20.6745,58.1896,20.0136,65.4668,57.1955
7.7296,5.2206,8.4498,0.0025,35.5763,20.3301,29.0872,53.7017,37.8813,43.4536,59.2686,24.1908
16.0054,1.9202,17.1625,0.0013,37.5896,36.8740,20.3613,41.8058,20.0169,46.9221,61.5630,47.5878
7.6471,2.9186,7.4465,0.0045,35.2872,21.3540,26.0412,50.9870,58.5686,35.6984,62.4814,47.7497
0.5909,117.0516,3.3736,0.0033,31.1515,55.7072,35.1684,22.3078,125.5930,20.0142,135.8642,33.7310
7.2377,46.5192,1.1689,0.0132,29.2634,20.0019,87.3006,26.7654,106.7758,20.0959,136.3476,22.6561
10.7305,2.5421,10.6331,0.0044,29.9455,23.1123,117.0296,30.1927,138.4930,25.6140,134.7454,49.2880
3.2072,62.7221,9.3854,0.0114,28.7339,20.0058,139.9892,26.7699,119.7840,20.1609,139.7464,24.7734
2.9214,61.6428,0.7013,0.0081,30.3723,63.1125,99.6203,26.7994,130.4914,20.0678,136.4105,24.6312
14.3599,2.6814,15.1212,0.0025,32.0265,20.7377,33.4361,21.9097,126.0492,20.6163,71.0289,61.5841
14.4633,7.9860,17.8900,0.0043,28.7156,20.8381,104.7137,23.0225,127.2729,20.1044,136.3974,20.0901
5.9910,34.9055,4.2561,0.0132,28.4566,20.6512,139.6467,22.1394,138.5295,20.6649,122.6938,20.3035
6.1221,54.3470,0.9079,0.0119,30.0264,20.1801,86.7620,24.6349,105.3120,20.0697,67.9873,22.4138
6.4542,51.8334,1.0199,0.0140,29.1851,20.3876,85.8055,27.1268,107.0928,20.1594,138.9240,20.1363
7.0740,14.3066,9.4475,0.0003,35.8608,20.2026,24.9914,54.8522,109.6343,45.1267,59.1331,110.0744
0.3648,154.9826,2.6522,0.0020,33.1308,55.3158,39.3772,20.0945,38.2378,42.8848,124.2818,20.0112
7.5749,40.3787,2.2084,0.0171,28.6785,28.8487,139.9158,20.0456,137.5499,20.0109,117.0953,20.0209
7.7586,14.4004,10.5376,0.0003,36.1553,42.2724,31.6335,26.4177,67.0794,27.8230,67.2919,112.8583
13.3577,8.4365,16.4964,0.0005,35.3669,20.0874,42.2082,20.6199,59.3460,26.5604,64.3036,111.2256
1.0605,26.1927,0.5781,0.0022,40.3189,59.6055,30.9176,93.2540,33.6897,56.2560,31.6070,105.7460
1.2465,52.1498,3.9233,0.0039,29.7632,55.0616,103.5558,20.6049,134.5935,20.0429,135.0446,20.9554
19.4259,3.9951,21.3112,0.0008,33.8158,27.8085,42.6667,22.2081,46.6811,20.3276,73.7513,58.2168
0.6683,55.5288,1.0416,0.0027,39.6939,61.3670,33.9294,26.5018,38.7670,66.0464,20.0862,103.0205
10.7733,41.7504,1.6123,0.0121,29.2193,20.0515,90.1989,24.5636,107.8372,22.0436,126.7734,20.1862
3.2734,99.9899,15.0519,0.0090,28.4600,20.0515,139.2981,22.4453,117.6147,20.1057,138.3775,20.0887
6.0438,49.8977,2.0700,0.0172,28.7282,20.1762,139.3543,29.5759,138.4103,20.0295,114.4098,20.0734
0.7311,26.3120,0.6843,0.0014,40.4011,60.5918,29.2868,88.1820,33.7144,58.6001,30.0646,104.2876
15.5971,2.2636,15.0370,0.0028,36.8764,22.2863,26.6579,49.5319,20.1449,44.7311,67.5121,50.5743
17.3573,3.6947,19.3270,0.0007,35.0677,34.7499,29.0726,20.1545,47.8676,36.0383,61.7719,49.6590
19.5844,4.2247,21.6009,0.0004,34.8072,20.5146,41.4285,28.6528,38.2180,31.9020,64.4473,57.5738
0.6819,151.6202,4.8795,0.0032,30.7207,55.7007,35.1573,20.0624,125.4748,20.0181,135.8098,22.9817
15.9024,5.5755,17.9565,0.0005,36.5671,25.9093,36.1368,26.7523,50.0098,38.2608,62.1403,112.4768
3.0122,97.3481,13.8223,0.0101,28.7246,20.0194,138.5135,26.7889,114.7702,20.0665,138.6968,22.8296
0.4246,135.0550,2.5581,0.0021,33.1277,54.9335,38.9743,20.9782,38.2646,43.1189,126.5265,20.4665
15.1279,3.8352,16.8830,0.0012,34.9979,21.4051,41.9623,20.0831,59.8644,20.2222,69.3087,109.3538
3.5627,63.3128,11.7831,0.0079,28.3330,20.0055,138.6711,20.6818,126.1344,20.0027,139.5064,20.1640
14.2489,10.2639,18.7447,0.0020,30.0579,21.1455,45.5137,20.8487,127.0779,20.0102,71.3744,20.5773
15.6755,1.6011,15.8734,0.0025,36.1072,20.2720,44.4541,20.8927,47.8676,42.4599,61.4491,108.4386
13.8620,4.0779,15.7394,0.0010,36.7401,20.5338,26.2659,50.7611,21.3256,37.7256,62.7067,47.7497
6.4840,48.4415,1.0662,0.0131,29.0600,20.0245,90.8793,23.3614,102.2686,20.1583,139.2112,21.1095
3.9499,37.5895,2.3275,0.0084,28.9983,20.0007,76.9988,25.2793,129.6976,20.9918,139.5762,20.2512
7.1425,13.6244,9.9971,0.0007,38.8945,70.9477,40.8175,52.1646,23.0084,43.4418,56.7996,107.9593
16.3370,6.0299,18.7606,0.0004,35.4494,20.0211,44.6567,20.1582,53.2878,24.9434,67.1703,115.5321
0.5612,25.4104,1.1069,0.0008,39.7392,55.9274,36.8699,28.2981,37.6244,61.3725,21.6556,123.7840
0.7598,37.9511,0.5008,0.0027,37.2728,60.7535,33.8576,26.5993,109.9375,61.4972,20.0106,111.3160
0.8243,30.6199,0.9256,0.0013,39.9814,60.5918,24.9383,93.8652,33.7144,58.6001,28.6717,47.6238
3.8366,33.8941,9.2410,0.0062,28.4158,20.3324,138.7176,22.0583,129.3970,20.0333,135.3569,20.6793
1.5875,96.6357,7.4479,0.0048,29.6936,20.1930,76.8750,26.8946,99.0453,25.6323,138.1548,23.5883
3.0259,116.3762,15.4076,0.0101,28.7057,20.0524,139.9708,27.4660,105.8261,20.0609,139.6128,20.0712
