avg_reflectance(%),uniformity(%),max_high_angle_R(%),delta_R_temp(%),avg_stress(MPa),layer1_thickness(nm),layer2_thickness(nm),layer3_thickness(nm),layer4_thickness(nm),layer5_thickness(nm),layer6_thickness(nm),layer7_thickness(nm)
7.3711,12.4387,9.3940,0.0002,37.8594,20.1787,28.9099,53.7017,37.8813,43.4536,59.2686,109.6872
0.6083,128.9758,3.8643,0.0032,30.7155,55.5095,35.1684,22.4255,125.5930,20.0037,135.8642,20.7460
1.6410,83.4151,0.5339,0.0060,31.1896,53.8162,44.6643,22.2702,128.0993,20.1067,139.8394,43.9094
5.5812,48.1180,2.2866,0.0143,28.6012,20.0054,139.9504,26.7545,139.1959,20.0536,120.2481,20.8935
9.1995,2.0948,9.5505,0.0030,36.9900,20.1819,37.6275,50.7405,55.1339,42.3913,59.2681,114.2557
6.1077,43.9657,2.7777,0.0156,28.5425,20.1032,139.7805,24.6190,139.7912,21.1463,119.3703,20.0051
13.1004,6.5434,13.9171,0.0062,28.8427,20.7486,98.8531,26.7994,130.3734,20.0122,139.9649,20.2441
1.1828,36.1782,0.3314,0.0026,40.6061,61.6296,28.9807,90.6716,32.2111,58.1013,27.9414,106.1779
13.5372,6.3531,15.8293,0.0007,33.3944,20.0240,41.9245,20.1657,60.8582,26.9616,67.4829,56.0039
6.1821,33.4574,3.6515,0.0122,28.5102,20.0232,139.9424,20.2773,138.5295,24.9189,123.2876,20.3035
8.7348,8.0518,11.1149,0.0008,39.0714,74.0863,34.8790,52.2119,22.9633,43.4990,56.7344,102.1474
21.6926,2.4892,23.2594,0.0019,31.4548,24.7232,41.4957,26.6249,103.0596,26.8131,135.8386,55.4564
0.6332,112.0644,3.4864,0.0034,30.5128,54.7142,38.1255,20.0770,126.2319,20.0289,137.7182,20.1286
13.4335,7.2354,16.3102,0.0003,35.2516,20.0874,42.2082,20.6745,59.3460,26.3989,64.3036,107.2567
2.2148,42.9440,4.0341,0.0068,28.9937,20.0975,78.9198,20.0116,118.4102,21.8320,138.2963,21.8001
3.0832,118.7027,15.4265,0.0096,28.9320,20.0475,139.9900,28.7055,99.8206,22.0892,139.9847,22.0976
2.9292,93.5168,12.8979,0.0112,28.7834,20.0528,139.8064,27.3067,112.4763,20.0621,139.6128,24.0093
20.4414,2.9206,21.8708,0.0009,34.4132,24.9369,44.4986,20.3555,38.8249,29.2386,66.7699,58.9244
3.7962,34.0380,6.8822,0.0085,28.4430,20.0518,139.9900,23.6914,129.7338,20.1154,139.9902,21.3417
8.4458,4.2049,9.2131,0.0025,35.6054,20.3134,28.2095,52.4406,37.8813,43.4536,59.2686,25.3082
6.6507,40.5290,1.2977,0.0137,29.1219,20.5589,139.9900,35.9716,125.2711,22.0892,118.5648,21.0213
2.0299,91.3263,0.2159,0.0081,34.6366,59.1181,34.2775,28.0660,50.5368,26.0774,136.1928,92.2469
11.2880,1.5026,11.5493,0.0035,32.1732,21.5084,57.1323,20.8364,83.3137,20.1488,71.8520,56.2318
2.4997,15.8213,2.4078,0.0041,39.1937,61.6296,42.9907,24.8124,32.4059,61.8727,28.7112,106.1779
12.4440,2.0525,12.7767,0.0022,37.9902,20.0943,24.9880,49.9328,29.4646,43.8218,62.0895,102.1188
18.8083,1.4743,18.7747,0.0048,31.8414,22.5479,44.4543,23.9790,98.8062,20.0033,67.9873,43.3012
